Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
AAS,312 INTRO TO ASIAN AMERICAN HIST,32750,Lower,TTH,12:30 p.m.-2:00 p.m.,,,Cultural Diversity,U.S. History,
AAS,320D ASIAN AMERICAN MEDIA CULS,32755,Upper,TTH,2:00 p.m.-3:30 p.m.,CMA 3.120,"MALLAPRAGADA, MADHAVI",Cultural Diversity,,
AAS,325G HIST SE ASIAN DIASP IN US,32759,Upper,MWF,1:00 p.m.-2:00 p.m.,PAR 206,"GIBBS, KEVIN MASAKAZU",Cultural Diversity,U.S. History,
AAS,325J SOUTH ASIAN MIGRATION TO US,32760,Upper,TTH,12:30 p.m.-2:00 p.m.,WAG 420,"MEHTA, MOHIT P",Cultural Diversity,U.S. History,
AAS,325N ASIAN AMERICAN JURISPRUDENCE,32765,Upper,TTH,3:30 p.m.-5:00 p.m.,BIO 301,"JIN, ARNOLD R",Ethics Cultural Diversity,,
AAS,330D BLACKS/ASIANS: RACE/SOC MOV,32770,Upper,TTH,9:30 a.m.-11:00 a.m.,,"BHALODIA, AARTI R",Cultural Diversity,,
AAS,330E SOCIOLOGY OF RACE AND WORK,32774,Upper,TTH,3:30 p.m.-5:00 p.m.,BEN 1.102,"KIM, ALLISON ROBIN",Cultural Diversity,,
AAS,330I ASIAN DIAS ON INDIGENOUS LANDS,32775,Upper,MW,11:30 a.m.-1:00 p.m.,,"MEI-SINGH, LAUREL",,,
AAS,335 ASIAN AMER HEALTH/EQUITY,32779,Upper,W,2:00 p.m.-5:00 p.m.,BIO 301,"TAO-FOSTER, AMY LAN",Cultural Diversity,,
AAS,377 CAPSTONE SEMINAR,32780,Upper,,,,,Independent Inquiry,,
ACC,310F FOUNDATIONS OF ACCOUNTING,02320,Lower,TTH,11:00 a.m.-12:30 p.m.,UTC 3.134,"VERDUZCO, DAVID B",Quantitative Reasoning,,
ACC,310F FOUNDATIONS OF ACCOUNTING-WB,02325,Lower,,,,"VERDUZCO, DAVID B",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02330,Lower,MW,8:00 a.m.-9:30 a.m.,UTC 1.102,"BROWN, TAYLOR S",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02335,Lower,MW,9:30 a.m.-11:00 a.m.,UTC 1.102,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02340,Lower,MW,11:00 a.m.-12:30 p.m.,UTC 1.102,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02345,Lower,TTH,11:00 a.m.-12:30 p.m.,UTC 4.124,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
